Champion1,Mastery1,Lane1,Champion2,Mastery2,Lane2,Champion3,Mastery3,Lane3,Champion4,Mastery4,Lane4,Champion5,Mastery5,Lane5,Champion6,Mastery6,Lane6,Champion7,Mastery7,Lane7,Champion8,Mastery8,Lane8,Champion9,Mastery9,Lane9,Champion10,Mastery10,Lane10,Champion11,Mastery11,Lane11,Champion12,Mastery12,Lane12,Champion13,Mastery13,Lane13,Champion14,Mastery14,Lane14,Champion15,Mastery15,Lane15
115,88990,bot,22,31888,bot,18,23309,bot,20,20876,jg,53,20720,sup,25,19870,sup,40,13615,sup,105,12442,mid,3,7920,mid,54,7179,top,59,6187,jg,30,5638,jg,142,4399,mid,74,4178,top,36,2974,top
7,384333,mid,105,124902,mid,29,94006,bot,81,82820,bot,42,81873,mid,161,59265,sup,91,58718,jg,11,55912,jg,64,51377,jg,23,50255,top,96,46328,bot,80,28155,sup,54,27058,top,150,25641,top,53,25100,sup
412,215295,sup,81,120472,bot,222,76210,bot,145,59086,bot,235,55880,sup,40,46271,sup,64,15736,jg,38,15652,mid,112,11090,mid,61,11068,mid,92,9890,top,131,7520,jg,10,7333,top,121,7086,jg,79,4165,top
523,44700,bot,81,43450,bot,517,43007,mid,202,35417,bot,39,28988,top,84,27025,top,245,16959,jg,134,16515,mid,164,14941,top,13,12231,mid,64,10375,jg,412,7448,sup,555,5495,sup,25,4870,sup,62,1470,jg
112,50816,mid,92,45320,top,234,40018,jg,104,24251,jg,875,23591,top,498,21677,bot,238,17622,mid,27,16769,top,4,16404,mid,22,16314,bot,360,15013,bot,141,13598,jg,235,10981,sup,80,10569,sup,53,2675,sup
58,160226,top,154,114693,jg,104,88849,jg,266,82706,top,28,81173,jg,32,76714,sup,79,75836,top,80,69947,sup,3,60850,mid,517,52278,mid,21,51234,bot,111,48819,sup,81,46238,bot,45,45191,mid,236,34681,bot
245,589397,jg,56,202253,jg,157,141715,mid,81,140784,bot,202,109592,bot,55,104311,mid,104,99335,jg,238,89264,mid,51,77219,bot,99,65353,sup,17,42885,top,80,40485,sup,39,25117,top,10,19268,top,63,5647,sup
412,110964,sup,25,100590,sup,202,80619,bot,81,79689,bot,57,73495,sup,51,65284,bot,223,54070,top,82,35253,top,126,30424,top,238,22157,mid,104,22031,jg,64,21301,jg,157,19376,mid,42,18840,mid,121,18827,jg
39,130031,top,104,73871,jg,517,51732,mid,81,36805,bot,245,35217,jg,875,33279,top,58,28720,top,145,24543,bot,67,16305,bot,42,15696,mid,64,13521,jg,777,12934,mid,57,8688,sup,235,6258,sup,50,4772,sup
17,67024,top,350,38177,sup,37,34919,sup,117,31756,sup,85,30779,top,96,27499,bot,90,20938,mid,74,20442,top,20,18719,jg,45,18716,mid,115,18697,bot,518,18237,mid,22,15211,bot,427,13880,jg,30,12815,jg
157,108185,mid,82,51543,top,234,40820,jg,131,38058,jg,25,36929,sup,412,36220,sup,11,32528,jg,53,30494,sup,39,27617,top,24,19348,top,517,16364,mid,777,16015,mid,21,13946,bot,81,6774,bot,221,3855,bot
412,184022,sup,98,125765,top,202,121476,bot,266,120032,top,53,95919,sup,64,94284,jg,164,86670,top,81,82944,bot,267,79832,sup,254,67143,jg,67,62763,bot,157,47406,mid,91,44895,jg,127,43065,mid,238,41700,mid
85,408699,top,150,79585,top,96,54167,bot,12,49164,sup,29,48013,bot,86,44305,top,412,38299,sup,105,36257,mid,45,29097,mid,268,26775,mid,57,25863,sup,35,24615,jg,81,22797,bot,33,18005,jg,121,12135,jg
99,98566,sup,53,89918,sup,54,52113,top,16,50821,sup,81,50442,bot,21,46930,bot,31,44450,top,55,37817,mid,22,30652,bot,75,20827,top,1,20457,mid,20,20125,jg,76,12015,jg,45,11133,mid,234,9403,jg
412,153648,sup,81,105756,bot,103,104830,mid,145,102600,bot,68,77481,top,64,74009,jg,67,63220,bot,53,56294,sup,121,55544,jg,157,50055,mid,91,49464,jg,238,48503,mid,39,47224,top,101,30382,sup,98,27683,top
121,211629,jg,202,203046,bot,23,175337,top,107,131615,top,268,119772,mid,104,111774,jg,91,109870,jg,81,109700,bot,96,100020,bot,157,97028,mid,14,89029,top,238,87356,mid,80,85114,sup,412,68752,sup,12,57496,sup
517,55352,mid,412,53820,sup,111,53418,sup,104,48153,jg,238,46383,mid,157,43664,mid,236,40548,bot,64,37884,jg,39,36019,top,145,34070,bot,120,32756,jg,81,32220,bot,58,30110,top,12,26495,sup,68,25648,top
64,175320,jg,81,151615,bot,39,111932,top,105,91306,mid,92,61443,top,67,59770,bot,61,57792,mid,8,56825,mid,412,55772,sup,104,55704,jg,164,55092,top,145,45387,bot,12,43285,sup,245,36923,jg,555,36640,sup
64,181732,jg,81,103186,bot,157,101850,mid,238,100631,mid,67,66903,bot,99,64039,sup,13,56691,mid,202,54993,bot,122,52442,top,24,51323,top,101,38801,sup,245,37505,jg,56,34707,jg,17,34470,top,161,18055,sup
145,89412,bot,27,83898,top,39,75293,top,15,72176,bot,523,66855,bot,420,53997,top,63,34518,sup,112,32106,mid,157,27563,mid,26,14582,sup,64,13284,jg,5,8731,jg,57,6846,sup,141,5888,jg,103,3860,mid
55,146725,mid,81,97495,bot,202,81877,bot,145,77799,bot,164,74198,top,157,71956,mid,266,61313,top,84,55901,top,64,50407,jg,555,46470,sup,76,44295,jg,517,40378,mid,99,29747,sup,245,28845,jg,235,24484,sup
81,99425,bot,202,96922,bot,22,94280,bot,64,66713,jg,39,61415,top,157,57612,mid,7,57371,mid,245,53471,jg,103,51587,mid,84,50489,top,114,43704,top,412,39281,sup,432,36335,sup,121,32936,jg,99,27270,sup
157,251606,mid,64,239393,jg,92,200720,top,107,182655,top,67,156065,bot,238,152060,mid,268,79047,mid,412,70036,sup,236,68461,bot,121,68328,jg,202,58085,bot,11,57735,jg,53,48524,sup,12,46558,sup,39,35645,top
103,572982,mid,412,339156,sup,53,280048,sup,35,232032,jg,121,224971,jg,81,159950,bot,202,119133,bot,29,106314,bot,25,102487,sup,55,71854,mid,59,69437,jg,85,66464,top,54,61918,top,122,46686,top,8,41660,mid
64,151422,jg,62,77829,jg,58,77373,top,104,71365,jg,81,63398,bot,92,58534,top,236,55940,bot,67,52793,bot,107,51121,top,7,44279,mid,412,40422,sup,157,38626,mid,238,36241,mid,101,27976,sup,53,20321,sup
145,286902,bot,67,275778,bot,81,163487,bot,412,83375,sup,516,55766,top,39,48780,top,266,44379,top,64,32870,jg,8,30354,mid,76,30269,jg,53,26777,sup,59,26712,jg,517,23620,mid,238,22453,mid,235,15262,sup
412,96634,sup,81,90620,bot,41,71190,top,236,70347,bot,51,69060,bot,60,68076,jg,64,63074,jg,61,58673,mid,101,54347,sup,104,53016,jg,142,48947,mid,79,46076,top,126,45594,top,517,42370,mid,555,38434,sup
141,238531,jg,106,112466,top,86,55591,top,84,28603,top,234,23880,jg,517,22789,mid,157,20226,mid,62,19708,jg,238,13594,mid,81,12201,bot,53,10707,sup,360,10461,bot,202,7740,bot,80,7722,sup,101,4777,sup
24,411536,top,60,106315,jg,64,84132,jg,79,83309,top,35,74234,jg,7,67329,mid,15,40986,bot,266,39667,top,38,37608,mid,127,36687,mid,25,36212,sup,53,35776,sup,412,34593,sup,202,29661,bot,498,25040,bot
777,222115,mid,157,117981,mid,517,100807,mid,875,77005,top,84,69773,top,39,58070,top,104,38914,jg,81,33889,bot,64,23846,jg,141,23175,jg,67,22250,bot,80,20341,sup,360,19740,bot,101,10963,sup,53,7509,sup
13,154908,mid,81,154045,bot,64,138673,jg,412,128058,sup,202,126879,bot,157,120797,mid,41,112608,top,236,111200,bot,126,108649,top,4,97919,mid,68,91125,top,245,83212,jg,104,77499,jg,57,65846,sup,117,54433,sup
92,1129809,top,67,315367,bot,157,241206,mid,103,175374,mid,145,161001,bot,238,150371,mid,412,72314,sup,121,58954,jg,236,54817,bot,39,44220,top,107,43069,top,91,36326,jg,245,27326,jg,497,23306,sup,555,22226,sup
58,220997,top,81,182716,bot,53,133518,sup,236,101253,bot,119,75983,bot,121,75185,jg,412,73030,sup,92,70431,top,238,62916,mid,64,59936,jg,122,58716,top,25,47405,sup,2,44753,jg,157,23831,mid,134,20695,mid
99,186664,sup,81,176942,bot,51,174516,bot,25,122942,sup,412,111056,sup,67,66513,bot,103,56824,mid,60,46780,jg,120,42685,jg,127,36653,mid,7,36644,mid,64,36562,jg,54,35786,top,98,35648,top,68,30442,top
235,347191,sup,81,296086,bot,51,209047,bot,50,206764,sup,412,172542,sup,157,168274,mid,517,155709,mid,202,137935,bot,98,99560,top,68,83762,top,150,80125,top,112,79170,mid,234,65295,jg,9,44831,jg,120,41627,jg
516,175331,top,122,147905,top,64,134834,jg,81,134084,bot,157,88249,mid,51,84657,bot,145,83545,bot,101,68343,sup,120,66911,jg,238,62723,mid,412,59997,sup,121,54362,jg,517,54038,mid,58,51383,top,555,50093,sup
266,125784,top,106,56638,top,121,56072,jg,80,53632,sup,81,48127,bot,11,47873,jg,238,41910,mid,76,41023,jg,51,21831,bot,18,21394,bot,555,19838,sup,4,17752,mid,517,15516,mid,114,13418,top,235,12112,sup
412,144019,sup,238,117435,mid,53,110656,sup,103,105106,mid,7,79235,mid,64,76909,jg,92,72329,top,76,64986,jg,81,62302,bot,150,50259,top,68,45233,top,67,43142,bot,62,42273,jg,99,38437,sup,145,28910,bot
51,242923,bot,119,152648,bot,89,133533,sup,145,99987,bot,127,88658,mid,69,49118,mid,114,44093,top,50,28054,sup,157,27743,mid,412,26649,sup,11,18026,jg,121,16218,jg,74,12974,top,150,11327,top,64,10703,jg
57,259517,sup,64,176893,jg,5,107333,jg,54,103685,top,81,90227,bot,117,86426,sup,267,78160,sup,21,57478,bot,104,57399,jg,24,56722,top,86,56384,top,67,54845,bot,38,32388,mid,4,23206,mid,517,18411,mid
84,61376,top,80,59554,sup,64,52892,jg,517,52324,mid,777,32308,mid,69,29211,mid,39,29109,top,81,27529,bot,54,19034,top,76,17958,jg,145,17560,bot,236,13938,bot,234,12339,jg,350,8441,sup,25,3017,sup
240,279050,top,91,160562,jg,517,93392,mid,24,92376,top,8,57078,mid,875,47525,top,13,46518,mid,236,42269,bot,876,26253,jg,104,25091,jg,80,11404,sup,145,11229,bot,81,10604,bot,89,7494,sup,111,6536,sup
64,97648,jg,76,89091,jg,4,37588,mid,53,33136,sup,104,30838,jg,81,28588,bot,126,28122,top,39,27462,top,54,26033,top,238,24279,mid,517,23570,mid,101,22762,sup,555,20575,sup,236,19384,bot,110,17958,bot
157,499049,mid,238,362059,mid,64,187047,jg,92,183985,top,84,173974,top,236,158824,bot,121,148369,jg,13,132199,mid,91,116992,jg,126,97900,top,81,93302,bot,67,53201,bot,43,53045,sup,161,45132,sup,53,38978,sup
81,134843,bot,64,120238,jg,245,94601,jg,202,77624,bot,145,58298,bot,104,41452,jg,235,41349,sup,517,23872,mid,112,17864,mid,103,13578,mid,80,13281,sup,126,12833,top,412,8962,sup,84,8857,top,516,6453,top
154,225181,jg,134,192461,mid,16,92742,sup,51,85813,bot,412,84931,sup,75,73072,top,22,64970,bot,202,62871,bot,48,62774,jg,32,47870,sup,254,47417,jg,1,46236,mid,17,45500,top,157,44971,mid,31,35960,top
777,266112,mid,254,91595,jg,103,77199,mid,131,68140,jg,245,56824,jg,498,43062,bot,518,40516,mid,236,39304,bot,51,25945,bot,99,20323,sup,267,13585,sup,24,10785,top,43,9395,sup,82,5265,top,114,2655,top
81,78721,bot,58,67318,top,62,65960,jg,54,35249,top,24,35175,top,235,31138,sup,517,27582,mid,21,26819,bot,145,25956,bot,104,25585,jg,64,20459,jg,157,18894,mid,32,16996,sup,89,14815,sup,238,4814,mid
81,124807,bot,202,63026,bot,51,60101,bot,64,56963,jg,53,54023,sup,89,46192,sup,43,45814,sup,20,21462,jg,54,16034,top,120,15931,jg,13,15713,mid,7,13607,mid,134,10510,mid,79,8388,top,875,7638,top
81,40583,bot,114,36913,top,22,36787,bot,84,33652,top,145,31497,bot,517,28707,mid,104,26181,jg,64,25652,jg,48,21642,jg,43,20949,sup,55,20731,mid,117,17777,sup,875,17492,top,8,16270,mid,26,15719,sup
122,540124,top,154,137705,jg,64,91548,jg,266,77112,top,39,67600,top,157,58531,mid,517,48683,mid,104,48028,jg,81,26083,bot,523,26039,bot,67,22265,bot,13,13603,mid,53,11056,sup,99,5160,sup,80,4849,sup
245,83776,jg,76,66122,jg,81,61479,bot,64,54610,jg,145,54046,bot,360,45882,bot,99,44118,sup,103,37777,mid,126,33548,top,39,33304,top,61,23072,mid,517,21586,mid,161,20872,sup,101,17014,sup,17,15280,top
121,52955,jg,84,42854,top,80,41907,sup,54,39170,top,104,38587,jg,7,37919,mid,238,37735,mid,114,37404,top,236,36742,bot,157,36232,mid,81,34419,bot,245,33721,jg,51,30947,bot,53,28756,sup,432,21615,sup
157,217351,mid,84,51285,top,238,38220,mid,39,38083,top,555,33205,sup,55,31543,mid,145,29780,bot,122,24438,top,67,23581,bot,360,14696,bot,11,14683,jg,64,14020,jg,163,13966,jg,412,7051,sup,99,3083,sup
245,276222,jg,39,114661,top,517,65681,mid,157,49477,mid,234,41518,jg,236,30361,bot,64,24604,jg,777,21341,mid,82,16986,top,84,16457,top,80,13899,sup,67,7289,bot,555,7189,sup,101,4586,sup,222,1940,bot
166,66773,mid,517,60839,mid,234,51253,jg,81,47263,bot,235,43405,sup,104,41638,jg,84,39815,top,103,36863,mid,888,30100,sup,360,28352,bot,119,28219,bot,147,24636,sup,79,17191,top,154,12681,jg,887,9271,top
555,259261,sup,55,146804,mid,99,134183,sup,17,89395,top,39,65398,top,53,61930,sup,92,49697,top,33,31566,jg,121,31453,jg,254,19989,jg,67,18050,bot,157,17333,mid,103,14027,mid,51,13461,bot,222,11127,bot
245,527504,jg,234,331624,jg,141,231175,jg,360,103523,bot,157,101109,mid,202,85690,bot,236,60805,bot,887,56357,top,777,39113,mid,50,32470,sup,4,31027,mid,84,25131,top,555,18085,sup,235,9628,sup,17,8673,top
17,631582,top,11,221689,jg,14,128091,top,111,117450,sup,23,86659,top,19,69125,jg,110,53124,bot,96,50279,bot,81,45483,bot,91,40202,jg,80,12647,sup,412,8042,sup,38,3969,mid,112,2998,mid,4,2974,mid
81,115780,bot,18,92217,bot,202,83554,bot,412,25427,sup,164,23362,top,64,21387,jg,777,19231,mid,266,12748,top,131,12152,jg,3,7534,mid,84,7456,top,42,7392,mid,12,6949,sup,141,6502,jg,89,5687,sup
90,92499,mid,8,62180,mid,56,58355,jg,55,51889,mid,120,37093,jg,412,36757,sup,350,33112,sup,101,24823,sup,81,24023,bot,121,20966,jg,21,16403,bot,18,14155,bot,98,14154,top,17,12617,top,39,11859,top
105,147835,mid,35,46111,jg,145,28918,bot,64,27335,jg,222,25045,bot,103,23879,mid,81,20058,bot,54,19943,top,17,16952,top,26,15505,sup,234,14481,jg,25,14081,sup,114,14038,top,7,13751,mid,555,12360,sup
75,254259,top,80,125355,sup,120,107948,jg,82,75201,top,111,62811,sup,254,57301,jg,54,48912,top,33,42013,jg,43,37031,sup,4,15176,mid,22,7635,bot,81,5848,bot,3,5390,mid,51,5258,bot,517,5072,mid
67,420832,bot,81,280978,bot,236,162865,bot,412,151357,sup,92,95257,top,238,93637,mid,11,89338,jg,122,83579,top,157,82224,mid,7,71137,mid,53,49996,sup,76,48215,jg,99,41895,sup,64,41365,jg,24,37026,top
64,192641,jg,143,124616,sup,104,77612,jg,76,52473,jg,51,49323,bot,350,35344,sup,222,34692,bot,43,34398,sup,517,25567,mid,21,18422,bot,114,12347,top,17,11589,top,42,11125,mid,39,6462,top,103,5409,mid
89,298311,sup,15,279602,bot,254,240172,jg,202,235478,bot,203,200286,jg,81,157487,bot,113,123539,jg,57,100498,sup,201,74895,sup,54,56433,top,223,36205,top,122,27459,top,103,3952,mid,42,2662,mid,90,2268,mid
412,489783,sup,126,478682,top,43,169143,sup,12,132775,sup,98,86610,top,13,73836,mid,21,72907,bot,122,71824,top,90,66783,mid,81,66342,bot,64,62520,jg,103,56079,mid,104,53875,jg,78,50398,jg,236,30664,bot
157,225032,mid,81,165395,bot,236,123743,bot,11,101908,jg,238,99666,mid,122,93953,top,67,63710,bot,64,58126,jg,107,56302,top,4,54285,mid,75,51233,top,76,43155,jg,412,33057,sup,53,29122,sup,555,18641,sup
11,465606,jg,157,389876,mid,266,64085,top,121,60109,jg,81,48563,bot,875,47217,top,234,45415,jg,555,43217,sup,238,40367,mid,55,40181,mid,39,26539,top,360,18621,bot,67,8157,bot,32,6741,sup,80,6486,sup
64,819794,jg,121,326941,jg,107,175223,top,81,172827,bot,236,164639,bot,412,153583,sup,60,148346,jg,53,112297,sup,238,95122,mid,67,82200,bot,517,68804,mid,7,51605,mid,75,51395,top,92,44599,top,43,35854,sup
64,155999,jg,81,127471,bot,121,90852,jg,236,78067,bot,238,75336,mid,107,65009,top,145,57220,bot,157,56956,mid,7,48981,mid,234,47422,jg,79,36999,top,235,36473,sup,412,35395,sup,92,34830,top,53,33025,sup
236,105833,bot,7,84684,mid,81,45221,bot,84,33309,top,104,26127,jg,51,19880,bot,112,18984,mid,777,13800,mid,235,13382,sup,99,11995,sup,101,10871,sup,64,9248,jg,875,6757,top,39,5266,top,163,4310,jg
64,545374,jg,81,238720,bot,76,200184,jg,145,169307,bot,240,153767,top,51,152887,bot,55,134191,mid,157,84744,mid,122,81207,top,53,79207,sup,238,72453,mid,245,57787,jg,79,51940,top,412,32304,sup,101,31531,sup
81,52879,bot,350,51502,sup,145,49658,bot,67,45658,bot,517,38606,mid,235,36937,sup,64,25366,jg,13,20476,mid,35,19690,jg,112,18843,mid,26,16345,sup,121,13594,jg,58,12591,top,126,12412,top,875,11795,top
81,156708,bot,67,110481,bot,157,80870,mid,51,64388,bot,122,57012,top,238,49341,mid,64,44090,jg,54,42444,top,412,40833,sup,154,38151,jg,266,32490,top,517,24184,mid,59,22805,jg,201,22185,sup,53,21950,sup
81,68209,bot,22,65948,bot,236,45407,bot,79,25151,top,150,20009,top,68,19650,top,235,16482,sup,111,7034,sup,112,6703,mid,157,6506,mid,2,6064,jg,166,5646,mid,59,5565,jg,117,4085,sup,78,3609,jg
64,290640,jg,104,77816,jg,222,75443,bot,498,67736,bot,7,49324,mid,145,48403,bot,76,38255,jg,412,31744,sup,114,26523,top,24,21484,top,80,16687,sup,103,16433,mid,157,12159,mid,39,11609,top,99,10058,sup
142,109826,mid,24,71577,top,412,62915,sup,42,51854,mid,268,46667,mid,89,45383,sup,76,39549,jg,104,36851,jg,59,36153,jg,266,35224,top,117,28344,sup,81,27983,bot,523,26876,bot,51,25185,bot,223,20958,top
238,134596,mid,64,112608,jg,157,104230,mid,92,93103,top,236,93006,bot,91,92295,jg,24,65926,top,11,65156,jg,55,60288,mid,133,57938,top,81,48126,bot,15,45576,bot,80,29169,sup,101,23879,sup,99,17704,sup
5,1010965,jg,32,373800,sup,110,365735,bot,22,286485,bot,222,188435,bot,54,155352,top,45,155342,mid,104,143918,jg,89,111828,sup,53,111573,sup,98,76584,top,133,57229,top,105,37878,mid,20,18467,jg,103,5660,mid
58,670927,top,6,257657,top,78,112701,jg,114,87883,top,117,85730,sup,145,72818,bot,50,69733,sup,81,66665,bot,203,60905,jg,112,39669,mid,21,37374,bot,105,31747,mid,517,22680,mid,141,22514,jg,40,20357,sup
81,86824,bot,22,74725,bot,67,69421,bot,53,66264,sup,111,59405,sup,16,59224,sup,103,31498,mid,54,28079,top,102,27615,jg,7,27113,mid,17,26889,top,39,26001,top,61,19325,mid,76,17808,jg,254,12635,jg
64,87435,jg,81,66884,bot,517,47788,mid,7,45813,mid,104,42740,jg,91,38239,jg,157,36155,mid,236,35660,bot,79,29154,top,145,28632,bot,39,28053,top,17,28028,top,412,23154,sup,80,17635,sup,12,13393,sup
7,151027,mid,55,105541,mid,238,90788,mid,84,87589,top,39,65264,top,91,57130,jg,64,37032,jg,236,24253,bot,58,21310,top,81,18989,bot,145,18080,bot,131,14730,jg,80,10883,sup,101,6395,sup,412,6329,sup
10,356612,top,238,293201,mid,145,176215,bot,517,170141,mid,157,163078,mid,236,148225,bot,360,131031,bot,11,126823,jg,53,94029,sup,84,75891,top,64,72680,jg,101,61265,sup,54,52426,top,99,36806,sup,154,31568,jg
81,87951,bot,67,77752,bot,238,76471,mid,53,66099,sup,236,64313,bot,64,56657,jg,412,54143,sup,157,50758,mid,107,46529,top,92,44146,top,10,39431,top,11,38121,jg,104,25712,jg,8,25285,mid,101,23206,sup
40,309279,sup,99,292675,sup,16,288405,sup,518,89135,mid,7,81499,mid,103,46299,mid,21,38171,bot,76,38163,jg,81,33182,bot,54,29796,top,498,26228,bot,876,23360,jg,84,21796,top,64,19714,jg,17,18253,top
64,55098,jg,81,38008,bot,115,37732,bot,25,27981,sup,22,26913,bot,61,26389,mid,79,26176,top,74,25694,top,54,25278,top,35,19508,jg,127,17457,mid,154,16327,jg,157,16320,mid,99,12993,sup,80,11623,sup
99,596716,sup,267,527664,sup,117,323658,sup,81,157866,bot,21,151760,bot,103,124368,mid,34,91345,mid,51,90201,bot,54,79953,top,2,68353,jg,61,66983,mid,106,54622,top,9,49279,jg,74,49050,top,64,47339,jg
134,54447,mid,266,49072,top,110,36905,bot,68,36058,top,412,33172,sup,103,32243,mid,268,31478,mid,81,23396,bot,202,22099,bot,41,20490,top,60,19691,jg,117,16156,sup,76,13787,jg,432,13532,sup,104,12518,jg
107,570732,top,39,92136,top,92,65763,top,11,50016,jg,56,48184,jg,67,48169,bot,81,44729,bot,157,41658,mid,238,40207,mid,105,36362,mid,121,32674,jg,145,17979,bot,555,17387,sup,412,15569,sup,12,11214,sup
157,109360,mid,517,51979,mid,81,50731,bot,67,50590,bot,64,42954,jg,101,40896,sup,236,39916,bot,7,31890,mid,25,30688,sup,223,30398,top,54,25956,top,412,19815,sup,86,16730,top,104,14629,jg,245,9779,jg
81,248657,bot,145,165761,bot,92,119521,top,64,118660,jg,51,111152,bot,104,90040,jg,58,81892,top,24,79888,top,103,76840,mid,142,58112,mid,157,55302,mid,120,46073,jg,57,35278,sup,235,29169,sup,53,26189,sup
157,144761,mid,81,137949,bot,67,114816,bot,55,84478,mid,84,70024,top,15,64993,bot,92,49082,top,69,46787,mid,11,46095,jg,64,45161,jg,267,41397,sup,40,38485,sup,24,37832,top,16,36787,sup,91,32642,jg
875,173155,top,54,81075,top,223,72434,top,57,32784,sup,111,29666,sup,64,25721,jg,81,25551,bot,80,14293,sup,62,11391,jg,3,10183,mid,236,9176,bot,115,7957,bot,42,7271,mid,238,7268,mid,59,5658,jg
64,100802,jg,76,37610,jg,126,37143,top,141,31589,jg,81,29136,bot,43,25665,sup,235,22169,sup,517,21685,mid,13,21058,mid,101,17967,sup,236,17054,bot,79,16383,top,157,15677,mid,875,14672,top,67,14609,bot
238,111878,mid,81,87302,bot,412,79228,sup,64,65127,jg,7,55285,mid,157,54201,mid,236,53636,bot,145,38938,bot,39,26792,top,11,25349,jg,53,25226,sup,104,24146,jg,107,20389,top,54,20061,top,555,19885,sup
777,380139,mid,56,195151,jg,875,85075,top,122,73407,top,131,73337,jg,34,62576,mid,28,47865,jg,82,44911,top,555,26726,sup,517,21353,mid,99,19698,sup,80,13790,sup,360,11130,bot,81,5793,bot,202,2694,bot
11,1182369,jg,81,104346,bot,55,93848,mid,22,50151,bot,67,48831,bot,157,36431,mid,99,35377,sup,254,35006,jg,25,31649,sup,33,22584,jg,147,19898,sup,8,18372,mid,39,17081,top,875,16758,top,24,15226,top
51,341384,bot,17,148861,top,76,109414,jg,22,99166,bot,412,98173,sup,53,95259,sup,145,83011,bot,25,69843,sup,64,69506,jg,245,60976,jg,54,60837,top,36,32490,top,4,24825,mid,517,18989,mid,7,12607,mid
157,253155,mid,67,207509,bot,39,122404,top,64,101467,jg,84,80816,top,92,67307,top,145,64437,bot,55,54095,mid,81,51196,bot,238,48834,mid,76,41768,jg,104,36335,jg,53,33686,sup,412,20077,sup,99,19391,sup
1,52347,mid,81,41717,bot,12,33363,sup,24,32119,top,22,31316,bot,117,29905,sup,56,27561,jg,111,21612,sup,64,20699,jg,21,20557,bot,121,20179,jg,114,12320,top,17,9686,top,7,4917,mid,4,3653,mid
104,90174,jg,164,83860,top,875,78449,top,245,77930,jg,64,76821,jg,266,69965,top,145,53256,bot,517,48848,mid,80,46334,sup,81,28723,bot,236,24626,bot,157,16126,mid,3,5532,mid,25,4274,sup,412,2574,sup
412,102929,sup,81,73194,bot,21,46565,bot,15,42422,bot,53,41385,sup,64,41128,jg,8,39078,mid,17,38696,top,55,36252,mid,517,35582,mid,56,34366,jg,121,33814,jg,24,31880,top,114,31325,top,12,30093,sup
7,488437,mid,103,313118,mid,61,265082,mid,16,77740,sup,84,67729,top,43,67200,sup,117,55981,sup,81,40817,bot,236,32173,bot,498,22047,bot,68,18215,top,92,16437,top,59,15539,jg,245,15254,jg,113,10585,jg
81,54925,bot,64,52097,jg,67,48384,bot,238,47331,mid,236,43894,bot,114,34318,top,7,29630,mid,157,23551,mid,92,23250,top,11,21943,jg,76,21909,jg,41,18761,top,80,14750,sup,16,12596,sup,99,9907,sup
157,210829,mid,16,190671,sup,64,178384,jg,412,165750,sup,53,149914,sup,67,95705,bot,81,67209,bot,92,65738,top,236,60256,bot,122,50960,top,223,47405,top,35,39448,jg,238,27688,mid,517,27555,mid,245,25001,jg
53,173320,sup,64,75870,jg,202,59453,bot,39,54909,top,81,42056,bot,54,36539,top,103,35980,mid,117,35725,sup,157,34760,mid,76,33660,jg,412,32826,sup,238,32647,mid,67,31766,bot,104,28015,jg,84,22970,top
67,160485,bot,81,137005,bot,145,120519,bot,412,47841,sup,157,43659,mid,64,38442,jg,112,35988,mid,8,28427,mid,104,26148,jg,79,24066,top,131,19819,jg,36,18994,top,54,18533,top,32,15997,sup,235,13758,sup
157,193030,mid,39,76879,top,64,63929,jg,246,49490,mid,91,45301,jg,236,44920,bot,84,36113,top,875,35531,top,777,35195,mid,80,29722,sup,20,26867,jg,360,24161,bot,101,24137,sup,429,19757,bot,89,7948,sup
245,121912,jg,157,105882,mid,517,97183,mid,145,96056,bot,81,82331,bot,84,82228,top,55,82149,mid,64,81960,jg,67,76874,bot,39,68367,top,104,56939,jg,164,43746,top,412,33753,sup,99,33296,sup,555,32090,sup
35,222846,jg,555,199021,sup,516,185949,top,245,162266,jg,412,117044,sup,78,103382,jg,31,89928,top,238,87577,mid,53,69953,sup,122,58877,top,81,50546,bot,105,37892,mid,51,32191,bot,236,29565,bot,517,26721,mid
39,82819,top,76,74347,jg,78,18552,jg,104,18275,jg,517,17560,mid,126,16295,top,107,13954,top,55,12760,mid,119,12668,bot,238,11798,mid,555,8080,sup,67,8020,bot,221,7058,bot,53,1721,sup,117,1334,sup
234,88063,jg,76,39784,jg,64,34811,jg,875,22509,top,36,17353,top,517,15435,mid,122,11291,top,81,7873,bot,32,5662,sup,236,5414,bot,53,4213,sup,21,2754,bot,25,2724,sup,711,1793,mid,238,1613,mid
64,103396,jg,81,62507,bot,104,61991,jg,51,52823,bot,76,40659,jg,67,39815,bot,107,38811,top,79,38334,top,16,33062,sup,4,26925,mid,126,26575,top,8,26514,mid,53,25333,sup,3,24817,mid,117,24346,sup
53,143703,sup,81,106369,bot,222,93588,bot,35,64272,jg,145,60042,bot,12,52727,sup,80,24136,sup,1,21405,mid,42,19986,mid,103,19120,mid,141,18106,jg,41,17251,top,122,15844,top,75,13628,top,59,13228,jg
82,232963,top,266,152383,top,92,130003,top,81,79158,bot,67,77358,bot,238,73537,mid,112,66456,mid,157,55004,mid,141,42349,jg,202,39930,bot,64,39647,jg,121,38726,jg,53,33904,sup,412,28215,sup,12,7866,sup
