Champion1,Mastery1,Lane1,Champion2,Mastery2,Lane2,Champion3,Mastery3,Lane3,Champion4,Mastery4,Lane4,Champion5,Mastery5,Lane5,Champion6,Mastery6,Lane6,Champion7,Mastery7,Lane7,Champion8,Mastery8,Lane8,Champion9,Mastery9,Lane9,Champion10,Mastery10,Lane10,Champion11,Mastery11,Lane11,Champion12,Mastery12,Lane12,Champion13,Mastery13,Lane13,Champion14,Mastery14,Lane14,Champion15,Mastery15,Lane15
67,196814,bot,157,136290,mid,238,105755,mid,64,82743,jg,222,73239,bot,107,72266,top,92,64425,top,7,54733,mid,131,52536,jg,236,51507,bot,76,47705,jg,412,38543,sup,89,28742,sup,32,27358,sup,79,24889,top
84,516683,top,45,279379,mid,89,213750,sup,16,204086,sup,11,129237,jg,99,90806,sup,67,77263,bot,31,77216,top,122,70822,top,7,60954,mid,238,47877,mid,22,47576,bot,21,45143,bot,91,40850,jg,5,23968,jg
92,524088,top,55,461422,mid,157,224561,mid,131,116948,jg,238,78812,mid,51,68333,bot,114,59019,top,67,48475,bot,39,35361,top,141,31120,jg,222,26234,bot,76,25073,jg,53,20106,sup,99,13158,sup,161,9877,sup
28,123009,jg,145,72178,bot,104,71502,jg,81,48758,bot,203,37617,jg,38,24985,mid,67,23799,bot,7,11659,mid,80,7430,sup,4,5096,mid,25,4491,sup,40,4484,sup,887,2924,top,84,2095,top,39,1740,top
81,79451,bot,145,77849,bot,202,77656,bot,157,39947,mid,55,33263,mid,235,33084,sup,99,30846,sup,92,29659,top,245,25843,jg,11,22418,jg,13,16311,mid,64,16304,jg,875,15814,top,84,15621,top,50,13805,sup
3,100856,mid,103,73374,mid,36,42963,top,201,40855,sup,61,34855,mid,11,33904,jg,22,31052,bot,240,30822,top,101,29961,sup,115,29768,bot,266,25703,top,99,25051,sup,81,16167,bot,131,5622,jg,2,5253,jg
34,313705,mid,105,125317,mid,41,116157,top,136,96987,mid,107,65153,top,35,45090,jg,432,40081,sup,17,38093,top,29,34394,bot,202,33859,bot,99,30836,sup,412,30740,sup,245,29445,jg,91,26842,jg,236,23482,bot
133,194598,top,99,139350,sup,25,114416,sup,39,110859,top,90,67036,mid,40,63527,sup,45,58680,mid,17,58185,top,141,55147,jg,77,51358,jg,11,49681,jg,238,44152,mid,22,32657,bot,15,27722,bot,21,26150,bot
10,281258,top,4,96085,mid,92,81189,top,51,56220,bot,13,39895,mid,29,33488,bot,22,32325,bot,85,31830,top,8,20706,mid,78,13726,jg,235,13557,sup,99,11272,sup,104,9570,jg,40,8048,sup,30,7488,jg
203,132095,jg,145,57251,bot,67,44632,bot,202,43708,bot,141,43246,jg,235,43124,sup,39,32204,top,157,28651,mid,107,22258,top,45,18575,mid,432,16289,sup,104,15527,jg,99,14578,sup,10,12662,top,517,9488,mid
53,366594,sup,101,228041,sup,25,179469,sup,6,67759,top,42,29733,mid,17,23967,top,222,19517,bot,45,19447,mid,74,18894,top,22,18858,bot,13,18559,mid,33,17203,jg,15,14486,bot,19,6679,jg,20,5343,jg
141,548457,jg,131,397420,jg,84,242395,top,103,200009,mid,28,155543,jg,518,139461,mid,32,128414,sup,105,125455,mid,67,97335,bot,145,86744,bot,202,83468,bot,82,79584,top,516,71212,top,555,56480,sup,99,54665,sup
157,123699,mid,122,109133,top,11,82883,jg,75,67022,top,238,64439,mid,62,63912,jg,86,55079,top,99,48192,sup,21,36030,bot,112,29423,mid,80,29210,sup,202,28742,bot,19,27893,jg,22,22777,bot,53,22655,sup
55,159936,mid,360,62542,bot,82,55945,top,35,53521,jg,76,52434,jg,157,48348,mid,516,39551,top,23,37404,top,202,32866,bot,11,32726,jg,57,31918,sup,13,20362,mid,51,19243,bot,235,15292,sup,99,10058,sup
141,195512,jg,157,181007,mid,84,115273,top,777,84493,mid,122,77172,top,23,66441,top,245,54097,jg,517,47469,mid,121,43677,jg,236,29245,bot,202,28256,bot,412,17383,sup,555,15120,sup,80,13356,sup,523,11960,bot
119,120360,bot,412,119394,sup,81,104765,bot,51,100133,bot,98,65894,top,89,58761,sup,3,57937,mid,75,57030,top,13,39306,mid,42,24381,mid,201,21784,sup,54,20773,top,62,12972,jg,163,10322,jg,64,10210,jg
143,592005,sup,99,412651,sup,25,247768,sup,142,110084,mid,711,99959,mid,45,89516,mid,254,68948,jg,17,62037,top,121,61729,jg,202,59087,bot,19,46169,jg,22,44227,bot,15,42043,bot,74,10788,top,86,8546,top
412,258018,sup,516,152434,top,203,128219,jg,98,127480,top,51,126195,bot,107,90437,top,30,78603,jg,28,68255,jg,16,63480,sup,202,58005,bot,222,56641,bot,555,53910,sup,518,40717,mid,55,22641,mid,3,22361,mid
121,65229,jg,64,59511,jg,141,54845,jg,107,52679,top,157,51890,mid,412,51179,sup,236,39304,bot,555,38442,sup,238,34041,mid,24,32305,top,4,31265,mid,98,28616,top,51,23798,bot,80,23710,sup,67,20029,bot
432,432595,sup,497,115497,sup,117,90558,sup,81,72530,bot,75,37408,top,1,31391,mid,22,28433,bot,54,23738,top,10,19263,top,523,16663,bot,518,11164,mid,134,8482,mid,30,3869,jg,20,1504,jg,19,1335,jg
69,160625,mid,157,83889,mid,81,71605,bot,119,62114,bot,236,59524,bot,142,57486,mid,141,54623,jg,64,50735,jg,121,46606,jg,24,45974,top,122,44500,top,17,41126,top,101,28219,sup,432,27865,sup,99,22643,sup
119,272009,bot,29,205970,bot,67,155430,bot,19,46385,jg,20,36497,jg,254,36431,jg,412,23201,sup,63,22428,sup,24,20211,top,106,18295,top,45,16495,mid,136,15410,mid,107,14461,top,157,14283,mid,99,13560,sup
236,78107,bot,516,60473,top,9,51991,jg,39,51403,top,121,46622,jg,141,45891,jg,13,36636,mid,81,33296,bot,157,32347,mid,82,27983,top,235,26164,sup,15,26152,bot,8,17474,mid,412,15810,sup,555,12600,sup
157,106475,mid,21,97901,bot,236,90677,bot,81,69989,bot,122,66457,top,141,66186,jg,105,58977,mid,24,53173,top,517,52948,mid,86,52157,top,19,39996,jg,121,32807,jg,53,31567,sup,63,29278,sup,555,19288,sup
427,240415,jg,24,232822,top,20,162854,jg,235,150026,sup,113,107204,jg,89,94747,sup,106,81157,top,53,63107,sup,81,55754,bot,222,41660,bot,21,40089,bot,122,26202,top,517,25778,mid,13,25336,mid,34,24217,mid
161,60723,sup,24,58585,top,86,48224,top,105,41490,mid,45,39303,mid,245,32368,jg,154,30115,jg,82,27517,top,64,27166,jg,202,24145,bot,157,22201,mid,21,19490,bot,81,18032,bot,80,17486,sup,99,15280,sup
157,120678,mid,81,99189,bot,64,58777,jg,13,52516,mid,238,51405,mid,84,47215,top,51,41628,bot,145,38552,bot,76,36872,jg,79,30479,top,92,29053,top,101,26624,sup,25,19788,sup,63,19302,sup,141,18819,jg
67,230989,bot,223,206990,top,12,138153,sup,18,104987,bot,51,88160,bot,117,81159,sup,235,69560,sup,131,67761,jg,103,49659,mid,17,44565,top,75,41376,top,55,41362,mid,11,39290,jg,518,36438,mid,56,11895,jg
81,178163,bot,412,164315,sup,67,116487,bot,222,103730,bot,55,100814,mid,420,100251,top,161,98174,sup,64,97553,jg,238,84015,mid,142,73646,mid,99,62447,sup,17,41736,top,245,37494,jg,131,37485,jg,122,34487,top
245,32249,jg,24,28982,top,516,21650,top,141,21450,jg,6,19270,top,67,17629,bot,45,17367,mid,29,16675,bot,5,16658,jg,236,14943,bot,25,11279,sup,12,10463,sup,1,8260,mid,111,7252,sup,61,5627,mid
245,421698,jg,103,76480,mid,157,76363,mid,234,76307,jg,84,72292,top,238,56062,mid,81,53642,bot,22,52528,bot,39,51073,top,14,38439,top,115,35056,bot,99,30515,sup,161,24085,sup,412,23444,sup,59,19275,jg
245,140204,jg,103,94333,mid,3,44852,mid,236,38694,bot,61,28584,mid,235,27978,sup,78,22313,jg,202,21628,bot,64,21343,jg,84,12677,top,101,12668,sup,81,10775,bot,86,5895,top,53,4071,sup,17,911,top
58,511236,top,516,148213,top,420,117711,top,81,96249,bot,4,96041,mid,412,89712,sup,63,79057,sup,119,74413,bot,157,68457,mid,236,67166,bot,99,48845,sup,141,47807,jg,45,36250,mid,11,21127,jg,19,18145,jg
80,238469,sup,238,180894,mid,8,138889,mid,92,129258,top,202,128987,bot,24,120483,top,122,115464,top,245,71574,jg,91,45811,jg,62,34262,jg,55,31253,mid,50,16734,sup,67,12280,bot,22,11339,bot,32,10518,sup
145,303945,bot,29,286842,bot,498,166867,bot,64,90129,jg,112,72338,mid,42,49697,mid,38,46108,mid,11,31789,jg,40,25603,sup,235,24559,sup,31,16269,top,10,16210,top,41,14472,top,497,13923,sup,163,12085,jg
202,123446,bot,29,37059,bot,81,31723,bot,84,27865,top,79,24398,top,134,22590,mid,114,21750,top,50,19690,sup,56,17501,jg,517,17474,mid,117,14280,sup,12,12030,sup,19,10103,jg,13,9801,mid,104,5676,jg
92,1986932,top,157,231554,mid,497,227397,sup,39,219852,top,84,209111,top,141,180176,jg,498,149816,bot,145,139757,bot,412,111696,sup,202,109371,bot,55,107975,mid,103,96514,mid,555,57079,sup,76,43549,jg,91,24122,jg
141,165510,jg,154,123945,jg,84,103276,top,76,102617,jg,164,95334,top,157,94138,mid,39,86819,top,38,81909,mid,13,73351,mid,145,61899,bot,161,47286,sup,53,44024,sup,81,40397,bot,555,39126,sup,202,31771,bot
67,160039,bot,81,156835,bot,157,149336,mid,110,118059,bot,11,82507,jg,141,62763,jg,69,44897,mid,238,38523,mid,107,35133,top,245,31486,jg,92,25559,top,14,22044,top,235,20069,sup,412,20030,sup,161,18023,sup
84,192855,top,497,120944,sup,157,117161,mid,234,84698,jg,64,76384,jg,98,73473,top,266,73152,top,238,64436,mid,555,61142,sup,517,60346,mid,523,41149,bot,12,38986,sup,245,36167,jg,236,32350,bot,81,17063,bot
157,146757,mid,64,123022,jg,86,100917,top,555,91498,sup,238,88666,mid,55,88473,mid,91,82747,jg,92,80812,top,245,67459,jg,98,65370,top,18,50447,bot,201,34103,sup,53,28278,sup,202,22315,bot,22,21741,bot
157,105706,mid,145,90037,bot,67,87555,bot,29,80454,bot,75,79828,top,14,70412,top,86,64859,top,77,58716,jg,238,54960,mid,141,52786,jg,45,50515,mid,412,48736,sup,99,43617,sup,64,42986,jg,555,33013,sup
77,173791,jg,69,135347,mid,202,109058,bot,18,77575,bot,51,77512,bot,13,67206,mid,141,59451,jg,555,51790,sup,497,46664,sup,157,38336,mid,24,30081,top,32,25569,sup,114,25229,top,23,24880,top,120,23891,jg
80,193641,sup,157,140492,mid,11,134604,jg,106,129937,top,238,86423,mid,141,75193,jg,35,61886,jg,236,40679,bot,777,26277,mid,202,25907,bot,555,24072,sup,17,21758,top,82,20519,top,360,18094,bot,497,17145,sup
107,196398,top,64,163408,jg,99,122095,sup,412,93247,sup,555,72108,sup,11,65802,jg,119,49159,bot,236,40887,bot,121,40121,jg,22,21526,bot,875,15763,top,517,14277,mid,17,12658,top,4,8643,mid,34,4683,mid
86,140519,top,875,108900,top,202,82981,bot,157,58984,mid,122,48920,top,145,34210,bot,777,34037,mid,141,33456,jg,50,33294,sup,81,30395,bot,517,26033,mid,121,22623,jg,161,21754,sup,555,21000,sup,91,15092,jg
154,607694,jg,201,214319,sup,32,78800,sup,86,75720,top,113,67008,jg,14,54901,top,5,49396,jg,75,45777,top,21,43709,bot,99,24985,sup,29,17163,bot,22,14269,bot,8,12630,mid,103,7814,mid,34,3689,mid
20,449927,jg,32,105361,sup,62,90896,jg,45,72514,mid,876,64875,jg,82,47569,top,7,46004,mid,10,30094,top,157,25859,mid,99,23613,sup,83,20881,top,51,8772,bot,147,7857,sup,110,7154,bot,498,5667,bot
45,557690,mid,412,177622,sup,517,138709,mid,157,137534,mid,53,120208,sup,202,107901,bot,117,70845,sup,67,69801,bot,11,67771,jg,84,59337,top,131,55679,jg,75,47726,top,81,46716,bot,245,44226,jg,114,41312,top
267,117547,sup,16,117159,sup,37,107088,sup,45,67749,mid,127,65784,mid,28,59441,jg,518,58888,mid,421,47625,jg,22,46663,bot,202,39602,bot,78,35801,jg,17,33460,top,222,33136,bot,84,33074,top,875,30335,top
235,263078,sup,887,185795,top,157,142918,mid,81,117734,bot,39,117543,top,141,73212,jg,875,68775,top,43,62116,sup,131,52552,jg,145,50183,bot,517,47257,mid,555,47155,sup,202,42741,bot,238,40860,mid,11,23727,jg
85,141244,top,238,105808,mid,157,102723,mid,31,83629,top,134,72824,mid,67,69125,bot,62,62608,jg,202,59530,bot,54,59275,top,131,52643,jg,101,49836,sup,53,46420,sup,245,43010,jg,12,38543,sup,81,36422,bot
67,115492,bot,92,87900,top,238,83727,mid,157,80123,mid,99,47333,sup,55,45228,mid,131,42691,jg,119,35942,bot,64,35933,jg,9,31422,jg,429,29780,bot,39,25799,top,164,24782,top,50,9028,sup,12,8815,sup
266,406966,top,420,231356,top,145,218359,bot,3,162853,mid,29,154596,bot,56,110567,jg,22,109721,bot,19,62814,jg,497,62713,sup,57,35450,sup,34,34922,mid,254,32700,jg,516,32370,top,16,9059,sup,1,3335,mid
121,161454,jg,11,133141,jg,35,76083,jg,238,48810,mid,246,42699,mid,29,37385,bot,55,34286,mid,86,31933,top,67,24203,bot,23,24005,top,75,19947,top,16,7766,sup,523,7699,bot,44,5992,sup,50,3574,sup
67,135633,bot,157,133240,mid,64,91348,jg,245,79474,jg,236,54182,bot,238,49076,mid,24,48848,top,3,45522,mid,18,45343,bot,114,42867,top,122,39910,top,121,39453,jg,99,21948,sup,53,19906,sup,63,19500,sup
41,58938,top,69,35449,mid,13,30389,mid,112,28825,mid,18,27024,bot,101,23851,sup,51,19137,bot,145,16085,bot,14,14903,top,126,14248,top,64,11124,jg,412,10861,sup,163,9833,jg,91,4624,jg,12,4460,sup
69,537993,mid,268,465514,mid,13,139217,mid,50,106448,sup,164,91396,top,98,85304,top,82,84987,top,18,75078,bot,19,61602,jg,67,55311,bot,16,50009,sup,145,43621,bot,43,43298,sup,141,32958,jg,11,11981,jg
238,500202,mid,8,473872,mid,67,407864,bot,41,399417,top,157,153006,mid,202,124164,bot,145,78360,bot,555,56005,sup,234,38742,jg,161,37969,sup,141,35587,jg,39,32126,top,497,27374,sup,64,24415,jg,122,20884,top
12,470278,sup,164,321844,top,13,273699,mid,104,216630,jg,81,157445,bot,59,148608,jg,145,140140,bot,3,138874,mid,76,136078,jg,16,120782,sup,7,119687,mid,84,114134,top,83,101623,top,110,101037,bot,57,65869,sup
154,155453,jg,81,133736,bot,9,81556,jg,64,79735,jg,555,73412,sup,7,64917,mid,236,63678,bot,61,56358,mid,222,48284,bot,114,40098,top,86,34450,top,157,29343,mid,350,28757,sup,117,24975,sup,14,21551,top
112,273459,mid,236,105794,bot,101,102327,sup,238,101023,mid,29,70186,bot,22,63629,bot,40,54637,sup,84,53561,top,45,45227,mid,91,42965,jg,121,25155,jg,131,24702,jg,63,20833,sup,79,15173,top,14,12496,top
99,227201,sup,267,167477,sup,110,138286,bot,360,117149,bot,103,112261,mid,28,111602,jg,55,110492,mid,51,102720,bot,238,95308,mid,40,85344,sup,60,79342,jg,84,56844,top,141,51136,jg,39,36064,top,266,23796,top
267,383514,sup,117,132185,sup,43,123551,sup,15,45676,bot,131,37383,jg,22,28874,bot,51,27027,bot,98,26593,top,114,23570,top,203,16355,jg,55,14681,mid,133,13284,top,105,11921,mid,78,10706,jg,3,9957,mid
222,51340,bot,81,43854,bot,51,36568,bot,117,24886,sup,99,24770,sup,64,22727,jg,40,20985,sup,127,18235,mid,9,17420,jg,427,11283,jg,103,9222,mid,45,7854,mid,31,7431,top,133,5553,top,10,4536,top
51,324831,bot,429,270944,bot,18,205827,bot,134,166497,mid,131,111091,jg,114,71225,top,78,63409,jg,16,47567,sup,420,45762,top,69,44782,mid,203,27504,jg,55,24656,mid,266,11567,top,89,10230,sup,143,8241,sup
17,430461,top,222,241284,bot,51,215191,bot,67,202268,bot,25,99715,sup,99,87245,sup,64,82211,jg,412,58700,sup,7,53567,mid,157,53124,mid,45,51322,mid,122,46815,top,78,36413,jg,54,28281,top,121,23636,jg
51,211816,bot,498,162511,bot,222,136532,bot,5,96648,jg,19,91078,jg,154,90478,jg,235,56453,sup,201,30056,sup,42,27542,mid,268,26763,mid,63,24865,sup,79,17446,top,24,16462,top,69,13211,mid,41,12374,top
412,291023,sup,64,284239,jg,121,213822,jg,157,198435,mid,222,151661,bot,107,148342,top,238,123920,mid,236,117706,bot,67,107914,bot,120,82412,jg,201,81564,sup,79,69805,top,40,69054,sup,55,54161,mid,92,52180,top
120,208674,jg,11,208594,jg,32,193482,sup,99,112800,sup,25,75001,sup,56,70122,jg,36,49481,top,82,43039,top,18,42437,bot,75,40401,top,45,27644,mid,22,24273,bot,145,22578,bot,777,13064,mid,1,10128,mid
121,289028,jg,64,284651,jg,40,181684,sup,91,96882,jg,21,92339,bot,143,89479,sup,54,61606,top,117,58940,sup,90,47278,mid,122,31419,top,79,30429,top,157,17096,mid,45,15117,mid,51,10129,bot,22,9445,bot
131,199070,jg,29,138642,bot,3,120941,mid,15,120289,bot,81,63851,bot,57,60384,sup,36,56713,top,101,48383,sup,45,28936,mid,54,27962,top,84,23026,top,141,21059,jg,412,16566,sup,121,12974,jg,13,10794,mid
64,608439,jg,79,337339,top,161,312216,sup,69,152936,mid,157,106390,mid,141,96430,jg,81,84869,bot,99,84500,sup,4,76955,mid,101,73953,sup,67,54657,bot,18,52047,bot,154,44615,jg,24,42930,top,41,41831,top
497,259581,sup,267,229015,sup,131,139357,jg,201,106136,sup,518,72500,mid,45,65519,mid,55,55773,mid,164,49877,top,133,49475,top,17,45642,top,62,44005,jg,245,32013,jg,523,23464,bot,51,22416,bot,202,11144,bot
360,225675,bot,75,197666,top,21,164103,bot,19,126906,jg,222,123524,bot,157,119305,mid,875,100908,top,555,90896,sup,82,81719,top,11,42074,jg,99,30499,sup,1,30298,mid,45,28261,mid,53,25475,sup,76,23532,jg
67,651799,bot,51,509790,bot,122,400325,top,11,356935,jg,202,353312,bot,157,318467,mid,41,218578,top,107,202346,top,412,190330,sup,63,174207,sup,53,146558,sup,517,89108,mid,64,81738,jg,141,80233,jg,8,68270,mid
157,670255,mid,238,227639,mid,107,112024,top,45,108959,mid,19,98444,jg,498,64914,bot,24,62110,top,141,54540,jg,202,40803,bot,67,36757,bot,64,33840,jg,75,32010,top,12,27885,sup,412,21337,sup,53,19202,sup
117,75252,sup,111,53900,sup,350,44439,sup,133,34591,top,254,26022,jg,22,20577,bot,54,19901,top,64,17742,jg,222,15941,bot,157,15713,mid,51,13725,bot,86,10895,top,105,9157,mid,35,7811,jg,238,5526,mid
43,422588,sup,117,224214,sup,518,158984,mid,18,158949,bot,267,102126,sup,21,90139,bot,86,79682,top,23,74628,top,121,65674,jg,78,63973,jg,81,56603,bot,154,54858,jg,98,52165,top,103,38113,mid,61,33753,mid
86,186614,top,17,176700,top,11,135837,jg,106,134004,top,90,121934,mid,555,108218,sup,117,86133,sup,77,82608,jg,350,75537,sup,157,61679,mid,141,61629,jg,238,58923,mid,145,54325,bot,18,45736,bot,81,39330,bot
238,67944,mid,7,28555,mid,68,22643,top,58,22557,top,10,22150,top,105,19920,mid,18,12832,bot,102,10787,jg,25,7882,sup,5,5198,jg,11,5142,jg,80,4802,sup,16,4427,sup,145,4228,bot,22,3677,bot
14,69793,top,67,41863,bot,51,41251,bot,41,37582,top,86,33135,top,142,32731,mid,236,30032,bot,13,26736,mid,55,16505,mid,19,13659,jg,30,12378,jg,35,11715,jg,12,9304,sup,53,9246,sup,555,4609,sup
141,780412,jg,11,506822,jg,157,214330,mid,121,182230,jg,23,168629,top,107,143597,top,122,125017,top,67,73913,bot,29,58591,bot,238,49750,mid,119,42727,bot,555,31888,sup,80,28616,sup,777,16946,mid,16,12894,sup
266,341978,top,555,176138,sup,6,173928,top,875,103616,top,19,84241,jg,202,74322,bot,81,69095,bot,157,65877,mid,245,65059,jg,53,62056,sup,99,51339,sup,67,47957,bot,142,39506,mid,517,35887,mid,59,33650,jg
77,97512,jg,254,46746,jg,29,28919,bot,157,28799,mid,23,27039,top,75,26136,top,18,23529,bot,202,20828,bot,25,19345,sup,43,19128,sup,33,19105,jg,31,17820,top,61,16223,mid,105,12388,mid,89,11410,sup
157,298332,mid,164,214669,top,24,157580,top,235,151285,sup,114,108260,top,245,79968,jg,131,78056,jg,202,69053,bot,56,58642,jg,134,55346,mid,51,38682,bot,22,37948,bot,80,36077,sup,34,35751,mid,25,24971,sup
64,237609,jg,13,146380,mid,238,131358,mid,121,129797,jg,59,115900,jg,3,97794,mid,84,82323,top,164,80987,top,266,55152,top,236,52010,bot,51,35732,bot,145,32357,bot,412,18015,sup,497,15658,sup,40,14582,sup
245,233198,jg,131,179984,jg,143,143088,sup,412,107030,sup,102,86520,jg,81,83498,bot,202,75488,bot,555,69543,sup,103,57330,mid,517,50127,mid,90,48716,mid,67,33858,bot,92,27087,top,107,19829,top,98,19642,top
157,158031,mid,82,143815,top,887,102669,top,23,77132,top,412,59726,sup,21,53067,bot,236,46100,bot,141,40904,jg,134,35110,mid,142,34407,mid,11,25368,jg,81,19760,bot,117,17692,sup,40,17597,sup,9,12551,jg
157,487412,mid,202,357934,bot,8,151389,mid,145,124013,bot,104,84006,jg,236,78641,bot,19,77012,jg,75,74347,top,238,71761,mid,141,66874,jg,39,65158,top,84,40548,top,53,30261,sup,99,27711,sup,161,26294,sup
141,245600,jg,875,176074,top,75,172211,top,154,142650,jg,122,99062,top,19,65271,jg,63,59148,sup,8,34952,mid,555,28545,sup,90,18260,mid,45,17044,mid,32,16282,sup,110,14099,bot,115,8753,bot,18,5222,bot
143,146497,sup,37,120269,sup,25,97233,sup,28,85833,jg,875,48944,top,103,47680,mid,51,46972,bot,60,44283,jg,22,38252,bot,104,36796,jg,21,33331,bot,14,32509,top,1,29025,mid,55,25758,mid,114,25255,top
25,81606,sup,235,69567,sup,41,57325,top,67,57008,bot,420,55999,top,555,44875,sup,22,39038,bot,523,32697,bot,55,30279,mid,104,28888,jg,38,28352,mid,13,26327,mid,121,25381,jg,6,23701,top,9,19290,jg
157,201145,mid,238,69080,mid,64,51762,jg,107,45498,top,23,43200,top,53,42893,sup,236,42209,bot,121,39564,jg,11,38586,jg,517,37628,mid,14,34760,top,555,19137,sup,117,18439,sup,81,13966,bot,222,13502,bot
99,208004,sup,103,123369,mid,267,52241,sup,498,40069,bot,117,33897,sup,22,29823,bot,61,28931,mid,67,26077,bot,518,21234,mid,76,16255,jg,28,11871,jg,17,10420,top,84,7656,top,887,6171,top,203,3784,jg
81,142586,bot,102,121634,jg,18,69025,bot,236,49311,bot,99,47887,sup,19,44021,jg,150,43902,top,80,38020,sup,42,37834,mid,63,35142,sup,245,31694,jg,45,25763,mid,54,22160,top,79,15280,top,90,14020,mid
41,665446,top,23,270774,top,98,95760,top,4,61490,mid,50,40683,sup,25,28735,sup,90,15218,mid,1,13827,mid,80,12626,sup,59,10186,jg,22,7929,bot,5,7799,jg,9,7202,jg,15,5742,bot,29,5483,bot
238,601132,mid,142,454274,mid,157,312211,mid,498,308657,bot,53,202578,sup,84,152157,top,412,118766,sup,131,116991,jg,25,114315,sup,114,97451,top,39,81226,top,81,62738,bot,245,54847,jg,203,49740,jg,523,39264,bot
412,422750,sup,555,253883,sup,12,182792,sup,76,70218,jg,7,62243,mid,238,59728,mid,136,56584,mid,223,53371,top,9,43727,jg,236,40564,bot,64,39287,jg,41,36190,top,133,35758,top,202,19426,bot,81,9429,bot
412,127470,sup,498,120557,bot,202,104218,bot,154,96980,jg,164,86708,top,64,80523,jg,29,78127,bot,516,76530,top,19,72531,jg,150,68159,top,497,60352,sup,157,52964,mid,238,39362,mid,235,37406,sup,45,34402,mid
91,963768,jg,202,471004,bot,238,330886,mid,50,294788,sup,157,208630,mid,99,201900,sup,55,178156,mid,82,153697,top,80,124332,sup,19,108161,jg,29,95654,bot,28,81068,jg,31,68839,top,6,67269,top,115,46217,bot
13,122547,mid,81,75043,bot,67,60004,bot,79,58195,top,76,54318,jg,236,53527,bot,64,52330,jg,412,51355,sup,92,49690,top,59,46432,jg,8,42961,mid,43,42277,sup,24,37816,top,55,36978,mid,201,31004,sup
20,364083,jg,133,125945,top,203,86470,jg,72,79584,jg,240,66874,top,429,58488,bot,84,56813,top,555,45371,sup,50,44543,sup,25,42371,sup,246,35897,mid,523,34851,bot,222,33303,bot,518,31538,mid,69,27950,mid
64,272455,jg,120,175039,jg,104,139358,jg,145,90714,bot,517,86477,mid,106,84067,top,84,83631,top,6,83324,top,236,81676,bot,21,70511,bot,61,69588,mid,32,65803,sup,13,60133,mid,80,48136,sup,101,46770,sup
555,223204,sup,497,89488,sup,412,77242,sup,134,34921,mid,223,31242,top,114,22336,top,222,21442,bot,141,21437,jg,150,20681,top,777,16594,mid,711,15916,mid,154,13805,jg,60,12567,jg,498,11060,bot,51,10475,bot
58,174835,top,55,121706,mid,238,96443,mid,14,80987,top,24,76709,top,105,64665,mid,64,46576,jg,35,33243,jg,80,25916,sup,101,23572,sup,29,19246,bot,202,18059,bot,81,15567,bot,121,14059,jg,555,8343,sup
40,654802,sup,86,541526,top,119,332659,bot,111,149412,sup,202,125114,bot,117,115454,sup,45,110717,mid,17,101744,top,35,86292,jg,222,77460,bot,59,75647,jg,122,74851,top,157,72692,mid,91,40696,jg,103,17624,mid
53,392757,sup,555,339766,sup,412,328881,sup,21,222164,bot,3,99567,mid,223,94118,top,145,81069,bot,18,70883,bot,141,41104,jg,79,34958,top,1,33548,mid,164,31539,top,5,21063,jg,78,12702,jg,42,10169,mid
157,104036,mid,51,103559,bot,67,78053,bot,202,69854,bot,107,43126,top,25,38095,sup,11,32953,jg,238,29177,mid,141,28950,jg,55,25376,mid,122,23772,top,121,21693,jg,24,20334,top,53,13784,sup,12,10725,sup
131,917403,jg,17,314366,top,161,275996,sup,107,207360,top,432,193007,sup,157,161120,mid,245,129201,jg,55,114018,mid,13,113323,mid,203,98736,jg,81,90701,bot,84,69891,top,202,68449,bot,555,63884,sup,119,58003,bot
58,154368,top,238,152374,mid,421,148154,jg,19,136234,jg,145,123977,bot,59,90314,jg,875,80266,top,22,75511,bot,80,69084,sup,54,51536,top,3,51287,mid,412,47360,sup,29,46972,bot,111,41668,sup,517,38660,mid
268,297284,mid,107,155398,top,81,100029,bot,157,86942,mid,238,81985,mid,202,81262,bot,266,69551,top,101,64091,sup,41,56289,top,80,53529,sup,64,50083,jg,5,46048,jg,141,45907,jg,161,45625,sup,29,34770,bot
38,151137,mid,45,66576,mid,106,56030,top,99,50681,sup,31,50132,top,141,47536,jg,19,44559,jg,6,40920,top,101,38307,sup,64,36080,jg,21,29825,bot,238,27531,mid,18,21669,bot,145,19010,bot,25,14731,sup
143,863587,sup,25,333510,sup,28,171760,jg,145,152428,bot,51,121953,bot,22,112527,bot,99,101793,sup,164,82149,top,127,63424,mid,69,63176,mid,84,46810,top,103,37945,mid,10,32487,top,76,26382,jg,254,25390,jg
107,1221229,top,60,212799,jg,92,126397,top,102,121869,jg,28,91445,jg,238,81901,mid,164,73438,top,69,57738,mid,63,54671,sup,119,52553,bot,90,46385,mid,202,37593,bot,236,32454,bot,89,32272,sup,412,31588,sup
202,252483,bot,67,127826,bot,81,116921,bot,17,96769,top,75,90313,top,16,45935,sup,235,43823,sup,223,43299,top,497,38525,sup,55,38023,mid,157,25568,mid,45,16849,mid,78,10592,jg,72,8032,jg,11,7201,jg
84,170122,top,99,140158,sup,92,139050,top,28,126340,jg,523,105873,bot,17,104083,top,35,75656,jg,145,74032,bot,55,69488,mid,517,54121,mid,4,48083,mid,21,47597,bot,876,44560,jg,235,31311,sup,147,30219,sup
